ticker,company_name,exchange,market_cap,industry,locked_at,lock_rule
VPX,Công ty Cổ phần Chứng khoán VPBank,HOSE,52800000000000.0,Chứng khoán,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
VRE,Công ty Cổ phần Vincom Retail,HOSE,68200000000000.0,Bất động sản,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
VSC,Công ty Cổ phần Container Việt Nam,HOSE,8780000000000.0,Vận tải - kho bãi,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,HOSE,10200000000000.0,Tiện ích,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,HOSE,8490000000000.0,Vận tải - kho bãi,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
VGI,,,,Chưa phân ngành,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
AAA,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
AAV,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
AGG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
APG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
ASM,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
BMI,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
BVS,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
CDC,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
CRC,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
CSV,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
CTF,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
CTI,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
DCL,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
DLG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
DRC,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
ELC,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
EVG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
FCN,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
FIT,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
GIL,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
HAX,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
HHP,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
HPX,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
HQC,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
IDI,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
KHG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
KSB,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
KSF,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
KSV,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
LAS,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
LCG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
LDG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
MST,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
NRC,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
NTL,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
PAC,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
PLC,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
PVC,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
PVP,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
SAM,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
SCR,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
SHI,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
SMC,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
TCM,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
TDP,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
THD,,,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
TIG,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
TLG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
TNG,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
TNH,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
TTA,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
TTF,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
VFS,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
VGS,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
VOS,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
VTZ,,HNX,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
VVS,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
YEG,,HOSE,,,2026-05-05,Manual addition for pre_breakout/breadth coverage (unified universe)
